policy_name,model_id,rule_family,inflation_coeff,output_coeff,lagged_rate_coeff,total_discounted_loss,mean_period_loss,total_discounted_revealed_loss,mean_period_revealed_loss,mean_sq_inflation_gap,mean_sq_output_gap,mean_sq_rate_change,mean_policy_rate,std_policy_rate,solver_status,improvement_vs_US_SW07_baseline_pct,improvement_vs_US_SW07_baseline_revealed_pct,improvement_vs_US_CCTW10_baseline_pct,improvement_vs_US_CCTW10_baseline_revealed_pct,improvement_vs_US_KS15_baseline_pct,improvement_vs_US_KS15_baseline_revealed_pct,improvement_vs_NK_CW09_baseline_pct,improvement_vs_NK_CW09_baseline_revealed_pct
US_SW07_baseline,US_SW07,external_baseline,0.0,0.0,0.0,1412.3615703556775,15.94399868305194,4495.977759999003,46.90340124767614,5.562754988650665,20.531095862354498,1.156957632240235,0.8615935909811558,2.3674678071665505,ok,0.0,0.0,,,,,,
sac_svar_direct,US_SW07,svar_direct,1.5286326746986068,0.5722431752571063,0.2262155273747335,7185.149458323413,86.05664775477354,27700.47724029209,289.88622525938365,80.86999424767886,8.365491435254723,10.039077894673149,4.079838691884226,8.881152079621284,ok,-408.73300499913523,-516.1168653178177,,,,,,
sac_benchmark_transfer,US_SW07,benchmark_transfer,1.1735575905740256,1.0213923824280504,0.3966722744554282,13563.022755750211,166.60305832446244,34767.464255136656,382.68225422160015,163.86778080023808,3.3208847911101667,10.748351286692372,5.568780256086284,11.904129742901874,ok,-860.3081137597516,-673.3015177358076,,,,,,
td3_svar_direct,US_SW07,svar_direct,1.5961245323496174,1.1673078594796595,-0.0587375161838392,15414.475256618667,188.8515423485044,51077.94858076863,570.7554382537643,185.61719469702885,2.6570422038059234,19.058265495725717,5.9501483713356285,12.757345541123014,ok,-991.3972441728794,-1036.0809885496399,,,,,,
sac_svar_revealed_direct,US_SW07,svar_revealed_direct,0.0678741432465723,0.0509750434082332,0.9307229868470568,16595.96581761439,194.3082116179561,21310.120516430703,238.361508728038,188.22971827067454,11.761060888741689,1.9796290291073577,4.920412584270468,10.409656686548786,ok,-1075.05079194664,-373.9818934610439,,,,,,
td3_benchmark_transfer,US_SW07,benchmark_transfer,0.968164929181337,1.178277175694704,0.4171051334440707,17725.85665000816,219.21275345790949,39698.66294473229,444.7253522570698,217.2695387832529,1.6359204155622251,11.252544668754888,6.303220259160211,13.428366218651428,ok,-1155.050903540531,-782.9817464386455,,,,,,
empirical_taylor_rule,US_SW07,empirical_rule,0.1931728114825275,0.2657685748665041,0.8691997672478173,18015.1404707723,222.12272054284398,25916.350744727464,294.78930457676273,220.8529741546101,1.819250402625157,3.6012118692130177,5.97975152252025,12.600482837755228,ok,-1175.5331813676803,-476.43414020653904,,,,,,
ppo_svar_direct_nonlinear,US_SW07,svar_direct,1.2466380078827537,0.5074466029259089,-0.1057424658280237,inf,inf,inf,inf,,,,,,failed,-inf,-inf,,,,,,
ppo_svar_direct,US_SW07,svar_direct,0.2523981567815053,0.1503624057740744,0.2816566566409654,inf,inf,inf,inf,,,,,,failed,-inf,-inf,,,,,,
ppo_ann_direct,US_SW07,ann_direct,-0.959321270308328,0.5472183921980825,0.1080788892883044,inf,inf,inf,inf,,,,,,failed,-inf,-inf,,,,,,
