date,gdpdef,real_gdp,potential_gdp,policy_rate,inflation,output_gap,inflation_gap,policy_rate_gap,quarter
1987-01-01,52.548,8986.367,9048.669254874287,6.22,1.9679319073420132,-0.6909052116867542,-0.032068092657986824,4.22,1987Q1
1987-04-01,52.912,9083.256,9120.473464934588,6.6499999999999995,2.280493740282541,-0.4088999110026137,0.2804937402825409,4.6499999999999995,1987Q2
1987-07-01,53.313,9162.024,9191.50594011684,6.843333333333334,2.6264289508938887,-0.32126752260346336,0.6264289508938887,4.843333333333334,1987Q3
1987-10-01,53.738,9319.332,9262.55407738218,6.916666666666667,2.876972810520506,0.6111123390038387,0.8769728105205061,4.916666666666667,1987Q4
1988-01-01,54.159,9367.502,9332.89816233194,6.663333333333334,3.019712701536914,0.3700870234160547,1.019712701536914,4.663333333333334,1988Q1
1988-04-01,54.686,9490.594,9402.936119398,7.156666666666666,3.297757893079778,0.9279209234021479,1.297757893079778,5.156666666666666,1988Q2
1988-07-01,55.34,9546.206,9472.372904618282,7.983333333333333,3.7315770487321043,0.776435155030164,1.7315770487321043,5.983333333333333,1988Q3
1988-10-01,55.818,9673.405,9541.739852701117,8.47,3.7976011745947336,1.3704524115194516,1.7976011745947336,6.470000000000001,1988Q4
1989-01-01,56.4,9771.725,9610.898343572995,9.443333333333333,4.054499388138266,1.6595312676718876,2.0544993881382663,7.443333333333333,1989Q1
1989-04-01,57.001,9846.293,9679.752477782387,9.726666666666667,4.14610763700729,1.7058708686183977,2.1461076370072902,7.726666666666667,1989Q2
1989-07-01,57.417,9919.228,9748.474214363136,9.083333333333334,3.6844452365265568,1.736431375856462,1.6844452365265568,7.083333333333334,1989Q3
1989-10-01,57.826,9938.767,9817.08349642722,8.613333333333333,3.5342103511643685,1.2318886745028124,1.5342103511643685,6.613333333333333,1989Q4
1990-01-01,58.45,10047.386,9885.457213629248,8.25,3.5702529414064266,1.6247792342330314,1.5702529414064266,6.25,1990Q1
1990-04-01,59.105,10083.855,9953.52039531658,8.243333333333332,3.624671166203264,1.3009332838157306,1.6246711662032638,6.243333333333332,1990Q2
1990-07-01,59.611,10090.569,10020.58247629744,8.16,3.7499694075852297,0.6959999909145864,1.7499694075852297,6.16,1990Q3
1990-10-01,60.055,9998.704,10086.676972233356,7.743333333333332,3.7822307480332995,-0.8759956798256141,1.7822307480332995,5.743333333333332,1990Q4
1991-01-01,60.643,9951.916,10152.177204066918,6.426666666666667,3.6832524487839358,-1.9923089902349034,1.6832524487839358,4.426666666666667,1991Q1
1991-04-01,61.088,10029.51,10216.905817665383,5.863333333333333,3.2999924340996856,-1.8512034027450497,1.2999924340996856,3.8633333333333333,1991Q2
1991-07-01,61.566,10080.195,10281.57022722389,5.6433333333333335,3.2269649308228843,-1.9780386507260772,1.2269649308228843,3.6433333333333335,1991Q3
1991-10-01,61.931,10115.329,10347.376832231384,4.816666666666666,3.0760053076189564,-2.26810453849442,1.0760053076189564,2.8166666666666664,1991Q4
1992-01-01,62.161,10236.435,10414.244254417565,4.023333333333333,2.4723581040159814,-1.7221094430341921,0.47235810401598144,2.0233333333333334,1992Q1
1992-04-01,62.535,10347.429,10482.223100445655,3.7699999999999996,2.3410952457532552,-1.2942701245627575,0.3410952457532552,1.7699999999999996,1992Q2
1992-07-01,62.841,10449.673,10551.784861690372,3.2566666666666664,2.0497956583612087,-0.9724340760238093,0.049795658361208694,1.2566666666666664,1992Q3
1992-10-01,63.273,10558.648,10622.618090341755,3.0366666666666666,2.1437835788944426,-0.6040270167401829,0.1437835788944426,1.0366666666666666,1992Q4
1993-01-01,63.628,10576.275,10695.542384138176,3.0399999999999996,2.332583159003754,-1.1213770012311386,0.3325831590037538,1.0399999999999996,1993Q1
1993-04-01,64.007,10637.847,10769.570878061651,3.0,2.3266052377793223,-1.2306532369386503,0.32660523777932227,1.0,1993Q2
1993-07-01,64.387,10688.606,10844.632547478088,3.06,2.430402268738252,-1.4491947210268918,0.43040226873825205,1.06,1993Q3
1993-10-01,64.738,10833.987,10921.031467364262,2.99,2.2889657347341164,-0.800228526551372,0.28896573473411635,0.9900000000000002,1993Q4
1994-01-01,65.048,10939.116,10998.74859058424,3.2133333333333334,2.207183386942191,-0.5436512492941858,0.20718338694219085,1.2133333333333334,1994Q1
1994-04-01,65.362,11087.361,11076.949095369497,3.94,2.0948597460123786,0.09395199175230573,0.09485974601237857,1.94,1994Q2
1994-07-01,65.737,11152.176,11156.409419615584,4.486666666666667,2.0750183498668306,-0.037953277509750194,0.07501834986683065,2.4866666666666672,1994Q3
1994-10-01,66.093,11279.932,11237.096679902585,5.166666666666667,2.0714485879609335,0.3804709083009783,0.07144858796093345,3.166666666666667,1994Q4
1995-01-01,66.452,11319.951,11318.730971934145,5.81,2.1354423618696217,0.010778260576849163,0.13544236186962166,3.8099999999999996,1995Q1
1995-04-01,66.771,11353.721,11401.545122180349,6.02,2.132780470482132,-0.4203351640649444,0.13278047048213182,4.02,1995Q2
1995-07-01,67.1,11450.31,11485.08306305804,5.796666666666667,2.0522111099846363,-0.3032264553409547,0.052211109984636295,3.796666666666667,1995Q3
1995-10-01,67.423,11528.067,11570.743237913231,5.72,1.9923364899251617,-0.36951068935113796,-0.007663510074838342,3.7199999999999998,1995Q4
1996-01-01,67.747,11614.418,11658.23583382563,5.363333333333333,1.930029581236603,-0.3765611426693738,-0.06997041876339694,3.3633333333333333,1996Q1
1996-04-01,68.028,11808.14,11750.806721393768,5.243333333333333,1.8650530586558745,0.4867228783124844,-0.13494694134412555,3.243333333333333,1996Q2
1996-07-01,68.251,11914.063,11849.53413723492,5.306666666666667,1.7008041994745149,0.5430913594263842,-0.2991958005254851,3.3066666666666666,1996Q3
1996-10-01,68.615,12037.775,11954.099435992812,5.28,1.7524963723806408,0.6975353551768038,-0.24750362761935918,3.2800000000000002,1996Q4
1997-01-01,69.025,12115.472,12064.075854277851,5.276666666666666,1.8688579479619882,0.42512145750617236,-0.13114205203801177,3.2766666666666664,1997Q1
