evaluation_env,loss_function,evaluation_type,scenario_group,scenario_id,beta,policy_name,total_discounted_loss,mean_period_loss,mean_sq_inflation_gap,mean_sq_output_gap,mean_sq_rate_change,mean_policy_rate,std_policy_rate_x,improvement_vs_actual_pct,improvement_vs_taylor_pct,var_inflation_gap,std_inflation_gap,var_output_gap,std_output_gap,var_policy_rate,std_policy_rate_y,var_rate_change,std_rate_change,rule_family,source_env,training_env,policy_parameterization,algo,lambda_inflation,lambda_output_gap,lambda_rate_smoothing,mean_discounted_loss,std_discounted_loss,mean_reward,mean_abs_action,clip_rate,explosion_rate,std_policy_rate
svar,artificial,historical_counterfactual,retrain,beta_097,0.97,historical_actual_policy,55.812942239178135,1.547269812936273,0.7232809750336143,1.6024091350095793,0.22784271284271282,4.778917748917749,2.1880694875453632,0.0,7.226386536451863,0.5653296948300168,0.751884096673162,1.5966876341551668,1.2636010581489583,4.787648082327029,2.1880694875453632,0.23036976152502478,0.47996850055501017,historical_actual,historical,historical,fixed_rule,,1.0,0.5,0.1,,,,,,,
svar,artificial,historical_counterfactual,retrain,beta_097,0.97,ppo_svar_direct_nonlinear,57.87316627071965,1.5630749417066754,0.7824465490173474,1.5297727611363576,0.1574201199164224,6.14033604287482,1.1827670557554038,-3.6913016029736068,3.8018326555353728,0.787355124840607,0.8873303358054468,1.534641244755231,1.238806379042032,1.3989379081803062,1.1827670557554038,0.15904023832468814,0.3987984933831723,svar_direct,svar,svar,nonlinear_policy,ppo,1.0,0.5,0.1,,,,,,,
svar,artificial,historical_counterfactual,retrain,beta_097,0.97,ppo_ann_direct_nonlinear,59.51564758603532,1.4481767773165861,0.7516509207834903,1.3693601928493295,0.11845760365877277,5.288290621398331,0.9017468333674833,-6.634133945115791,1.0716607535561022,0.646785334900559,0.8042296530845894,1.376698202678864,1.173327832568061,0.8131473514882838,0.9017468333674833,0.11927631658816706,0.3453640348793821,ann_direct,ann,ann,nonlinear_policy,ppo,1.0,0.5,0.1,,,,,,,
svar,artificial,historical_counterfactual,retrain,beta_097,0.97,sac_svar_artificial_beta_097_phase15,60.14670316917814,1.607897858419731,0.661307731686269,1.7964932060855372,0.4834352388520434,5.38128463169197,1.8050578297259712,-7.764795683818836,0.02270500251150689,0.5955921279938458,0.771746155153264,1.8011125159543397,1.3420553326723679,3.258233768655033,1.8050578297259712,0.48925756953386923,0.6994694914961403,phase15_retrained,svar,svar,standard_nonlinear,sac,1.0,0.5,0.1,,,,,,,
svar,artificial,historical_counterfactual,retrain,beta_097,0.97,empirical_taylor_rule,60.16036258101309,1.6470916651258058,0.6930877653362792,1.8834264042714681,0.12290696104128446,4.737120239482318,1.9952410332779866,-7.789269240106937,0.0,0.47532166825392796,0.6894357607884348,1.8962504836671517,1.3770441110099385,3.980986780876208,1.9952410332779866,0.12392393332821848,0.3520283132479808,empirical_rule,svar,svar,fixed_rule,,1.0,0.5,0.1,,,,,,,
svar,artificial,historical_counterfactual,retrain,beta_097,0.97,td3_svar_artificial_beta_097_phase15,60.66700750837179,1.5428019186816653,0.8114219884390111,1.4069218890559922,0.27918985965359566,5.207633743038425,1.394880887785759,-8.697024515196267,-0.8421573701063421,0.7235487260048789,0.8506166739518329,1.4089383851200232,1.186987104024312,1.945692691109987,1.394880887785759,0.2826503195438674,0.531648680562519,phase15_retrained,svar,svar,standard_nonlinear,td3,1.0,0.5,0.1,,,,,,,
svar,artificial,historical_counterfactual,retrain,beta_097,0.97,sac_svar_direct,60.911636083701126,1.5564301863026826,0.7086363522732483,1.5720292831343003,0.6177919272664424,5.346249309453097,1.575197013463278,-9.1353253205561,-1.248784865078493,0.6318384261032385,0.7948826492654362,1.5737802039406044,1.2545039672877103,2.48124563122363,1.575197013463278,0.6253604136492609,0.7907973277959789,svar_direct,svar,svar,standard_nonlinear,sac,1.0,0.5,0.1,,,,,,,
svar,artificial,historical_counterfactual,retrain,beta_097,0.97,ppo_svar_direct,62.38631284729928,1.7771733828297014,1.152672545648579,1.2474791525507936,0.007612608986539907,6.474330815401944,0.399380738649137,-11.777502393534343,-3.7000280097858176,1.1261293726197539,1.0611924295902952,1.2536423253537992,1.1196617012981194,0.15950497440393027,0.399380738649137,0.007648297311519123,0.08745454425882696,svar_direct,svar,svar,linear_policy,ppo,1.0,0.5,0.1,,,,,,,
svar,artificial,historical_counterfactual,retrain,beta_097,0.97,ppo_svar_artificial_beta_097_phase15,62.81802926968959,1.8242887184380565,1.1925171813623061,1.2621441603693764,0.006994568186525576,6.57799938127592,0.46248144984873546,-12.551008331530323,-4.4176374188198,1.1416275069998587,1.0684697033607733,1.2676379333854964,1.125894281620391,0.2138890914541884,0.46248144984873546,0.007025462944449971,0.08381803472075668,phase15_retrained,svar,svar,linear_policy,ppo,1.0,0.5,0.1,,,,,,,
svar,artificial,historical_counterfactual,retrain,beta_097,0.97,sac_svar_revealed_direct,63.64462193057459,1.8813040020839924,1.312616870940791,1.1337116736090704,0.018312942851008193,6.696313811587049,0.5263919537237178,-14.03201368212223,-5.791619598152401,1.2442506963080233,1.1154598586717603,1.1369659966359513,1.066286076358475,0.2770884889450727,0.5263919537237178,0.018535835850101188,0.13614637655883902,svar_revealed_direct,svar,svar,standard_nonlinear,sac,1.0,0.5,0.1,,,,,,,
